period_start,period,purchase_bid,sell_bid,mcv,mcp,final_scheduled_volume
2026-02-04 11:45:00,11:45 - 12:00,15729.2,35600.5,10209.13,2510.99,10209.13
2026-02-04 12:00:00,12:00 - 12:15,15059.5,37024.6,9802.55,2510.82,9802.55
2026-02-04 12:15:00,12:15 - 12:30,14851.9,38073.5,10018.23,2500.08,10018.23
2026-02-04 12:30:00,12:30 - 12:45,16189.4,42031.0,11692.38,2410.05,11692.38
2026-02-04 12:45:00,12:45 - 13:00,15422.4,44130.2,11199.7,2260.37,11199.7
2026-02-04 13:00:00,13:00 - 13:15,14496.0,46416.2,10859.83,1980.78,10859.83
2026-02-04 13:15:00,13:15 - 13:30,14228.2,47355.0,11105.48,1940.77,11105.48
2026-02-04 13:30:00,13:30 - 13:45,15261.6,47709.5,11904.83,2000.92,11904.83
2026-02-04 13:45:00,13:45 - 14:00,15849.5,47669.2,12596.6,2169.42,12596.6
2026-02-04 14:00:00,14:00 - 14:15,16237.2,44076.5,11128.95,2210.87,11128.95
2026-02-04 14:15:00,14:15 - 14:30,16463.6,42925.5,11085.0,2277.55,11085.0
2026-02-04 14:30:00,14:30 - 14:45,16254.5,39134.4,11105.6,2378.52,11105.6
2026-02-04 14:45:00,14:45 - 15:00,16050.5,37627.5,10922.3,2429.73,10922.3
2026-02-04 15:00:00,15:00 - 15:15,18397.9,36620.7,11365.28,2440.35,11365.28
2026-02-04 15:15:00,15:15 - 15:30,17237.7,33915.5,10958.9,2501.46,10958.9
2026-02-04 15:30:00,15:30 - 15:45,17003.2,31140.7,10116.8,2691.03,10116.8
2026-02-04 15:45:00,15:45 - 16:00,17409.8,29968.4,10349.64,2790.16,10349.64
2026-02-04 16:00:00,16:00 - 16:15,16274.9,27542.1,10176.32,2790.29,10176.32
2026-02-04 16:15:00,16:15 - 16:30,16187.3,26416.0,9812.68,2790.43,9812.68
2026-02-04 16:30:00,16:30 - 16:45,16526.1,22753.3,9206.5,2841.72,9206.5
2026-02-04 16:45:00,16:45 - 17:00,17326.7,20443.2,9421.9,3170.36,9421.9
2026-02-04 17:00:00,17:00 - 17:15,16368.6,17891.9,8794.1,3512.33,8794.1
2026-02-04 17:15:00,17:15 - 17:30,17306.5,15688.6,9442.0,3812.84,9442.0
2026-02-04 17:30:00,17:30 - 17:45,17187.4,15310.2,9674.5,3999.34,9674.5
2026-02-04 17:45:00,17:45 - 18:00,18004.8,14377.5,9621.83,4499.61,9621.83
2026-02-04 18:00:00,18:00 - 18:15,19944.8,13052.7,9907.1,5812.55,9907.1
2026-02-04 18:15:00,18:15 - 18:30,20993.0,12387.2,9630.79,6800.59,9630.79
2026-02-04 18:30:00,18:30 - 18:45,20513.3,11806.1,8986.8,6800.91,8986.8
2026-02-04 18:45:00,18:45 - 19:00,20181.1,11956.6,8924.4,6800.93,8924.4
2026-02-04 19:00:00,19:00 - 19:15,19683.5,11412.8,8337.8,6800.6,8337.8
2026-02-04 19:15:00,19:15 - 19:30,19023.0,11093.4,8161.6,6001.24,8161.6
2026-02-04 19:30:00,19:30 - 19:45,17869.1,11733.2,8152.9,4899.11,8152.9
2026-02-04 19:45:00,19:45 - 20:00,16751.2,12071.9,7699.0,4499.58,7699.0
2026-02-04 20:00:00,20:00 - 20:15,16661.8,12532.4,7640.6,4499.09,7640.6
2026-02-04 20:15:00,20:15 - 20:30,16678.3,12795.7,7981.2,4499.28,7981.2
2026-02-04 20:30:00,20:30 - 20:45,15695.9,14154.6,8010.5,4064.22,8010.5
2026-02-04 20:45:00,20:45 - 21:00,15272.8,15231.9,8126.2,3999.93,8126.2
2026-02-04 21:00:00,21:00 - 21:15,14754.9,16520.8,7932.2,3710.98,7932.2
2026-02-04 21:15:00,21:15 - 21:30,14441.0,17977.8,7927.5,3599.0,7927.5
2026-02-04 21:30:00,21:30 - 21:45,14424.7,19347.3,8090.9,3554.51,8090.9
2026-02-04 21:45:00,21:45 - 22:00,14401.9,20614.3,8181.2,3500.61,8181.2
2026-02-04 22:00:00,22:00 - 22:15,14481.6,22687.7,8299.0,3300.15,8299.0
2026-02-04 22:15:00,22:15 - 22:30,14663.1,23470.6,8325.0,3300.82,8325.0
2026-02-04 22:30:00,22:30 - 22:45,14382.1,24884.5,8518.0,3250.22,8518.0
2026-02-04 22:45:00,22:45 - 23:00,13811.6,25784.3,7959.08,3099.82,7959.08
2026-02-04 23:00:00,23:00 - 23:15,13577.0,27265.1,7474.4,2950.31,7474.4
2026-02-04 23:15:00,23:15 - 23:30,13296.8,28070.2,7354.8,2856.62,7354.8
2026-02-04 23:30:00,23:30 - 23:45,13374.7,28880.9,6844.06,2800.8,6844.06
2026-02-04 23:45:00,23:45 - 24:00,13186.0,29318.9,6896.3,2656.76,6896.3
2026-02-05 00:00:00,00:00 - 00:15,12959.9,30187.7,7620.4,2470.64,7620.4
2026-02-05 00:15:00,00:15 - 00:30,13268.9,32281.8,7716.2,2490.69,7716.2
2026-02-05 00:30:00,00:30 - 00:45,14280.7,34570.5,7875.9,2600.77,7875.9
